meta_pattern_id,contrast_group,contrast_group_label,selection_reason,node_id,pair_id,required_uncommon_count,n_covered,n_contrast,covered_uncommon_count,contrast_uncommon_count,covered_uncommon_ratio,contrast_uncommon_ratio,covered_to_contrast_ratio,covered_to_contrast_ratio_status
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Acceleration_Dynamics,Acceleration_Dynamics__x__Curvature_Geometry,2,123,123,79,33,0.6422764227642277,0.2682926829268293,2.393939393939394,finite
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Acceleration_Dynamics,Acceleration_Dynamics__x__Spatial_Reach_and_Route,2,123,123,76,28,0.6178861788617886,0.22764227642276422,2.7142857142857144,finite
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Acceleration_Dynamics,Acceleration_Dynamics__x__Turning_Dynamics,2,123,123,72,24,0.5853658536585366,0.1951219512195122,2.9999999999999996,finite
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Acceleration_Dynamics,Acceleration_Dynamics__x__Temporal_Sequential_Context,2,123,123,63,18,0.5121951219512195,0.14634146341463414,3.5000000000000004,finite
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Acceleration_Dynamics,Acceleration_Dynamics__x__Speed_Dynamics,2,123,123,0,38,0.0,0.3089430894308943,0.0,finite
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Speed_Dynamics,Curvature_Geometry__x__Speed_Dynamics,1,123,123,69,23,0.5609756097560976,0.18699186991869918,3.0000000000000004,finite
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Speed_Dynamics,Spatial_Reach_and_Route__x__Speed_Dynamics,1,123,123,64,29,0.5203252032520326,0.23577235772357724,2.206896551724138,finite
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Speed_Dynamics,Speed_Dynamics__x__Turning_Dynamics,1,123,123,61,24,0.4959349593495935,0.1951219512195122,2.5416666666666665,finite
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Speed_Dynamics,Speed_Dynamics__x__Temporal_Sequential_Context,1,123,123,50,29,0.4065040650406504,0.23577235772357724,1.7241379310344827,finite
MP00001,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Speed_Dynamics,Acceleration_Dynamics__x__Speed_Dynamics,1,123,123,0,41,0.0,0.3333333333333333,0.0,finite
