rule_id,target_item,target_pair,target_label,antecedent_items,antecedent_length,n_total,n_target,rule_support_count,rule_support_ratio,target_coverage,antecedent_support_count,antecedent_support_ratio,confidence,target_base_rate,lift,growth_rate,growth_rate_status,leverage
R00001,Acceleration__x__Indentation=Uncommon Acceleration,Acceleration__x__Indentation,Uncommon Acceleration,Geometric__x__Kinematic=Uncommon Kinematic;Indentation__x__Sampling_Gaps=Uncommon Sampling_Gaps,2,1551,189,30,0.019342359767891684,0.15873015873015872,31,0.019987105093488073,0.967741935483871,0.1218568665377176,7.9416282642089095,216.1904761904762,finite,0.01690679377003917
R00002,Localization__x__Path_Evolution=Uncommon Path_Evolution,Localization__x__Path_Evolution,Uncommon Path_Evolution,Localization__x__Phase_Change=Uncommon Phase_Change;Spatial_Context__x__SpatioTemporal_Dynamics=Uncommon SpatioTemporal_Dynamics,2,1551,165,29,0.018697614442295292,0.17575757575757575,31,0.019987105093488073,0.9354838709677419,0.10638297872340426,8.793548387096774,121.8,finite,0.016571326666392307
R00003,Localization__x__Path_Evolution=Uncommon Path_Evolution,Localization__x__Path_Evolution,Uncommon Path_Evolution,Geometric__x__SpatioTemporal_Dynamics=Uncommon SpatioTemporal_Dynamics;Localization__x__Phase_Change=Uncommon Phase_Change,2,1551,165,28,0.018052869116698903,0.1696969696969697,30,0.019342359767891684,0.9333333333333333,0.10638297872340426,8.773333333333333,117.60000000000001,finite,0.015995171269050854
R00004,Localization__x__Sampling_Gaps=Uncommon Localization,Localization__x__Sampling_Gaps,Uncommon Localization,Extent__x__Sampling_Gaps=Uncommon Extent;Sequence_Complexity__x__Speed=Uncommon Speed,2,1551,175,28,0.018052869116698903,0.16,30,0.019342359767891684,0.9333333333333333,0.11283043197936815,8.272,110.08,finite,0.015870462308587335
R00005,Displacement__x__Path_Evolution=Uncommon Path_Evolution,Displacement__x__Path_Evolution,Uncommon Path_Evolution,Displacement__x__Phase_Change=Uncommon Phase_Change;Geometric__x__SpatioTemporal_Dynamics=Uncommon SpatioTemporal_Dynamics,2,1551,156,25,0.016118633139909737,0.16025641025641027,27,0.017408123791102514,0.9259259259259259,0.10058027079303675,9.205840455840455,111.77884615384616,finite,0.01436771933500194
R00006,Duration__x__Path_Evolution=Uncommon Path_Evolution,Duration__x__Path_Evolution,Uncommon Path_Evolution,Acceleration__x__Duration=Uncommon Acceleration;Phase_Change__x__Sequence_Complexity=Uncommon Phase_Change,2,1551,188,36,0.02321083172147002,0.19148936170212766,39,0.025145067698259187,0.9230769230769231,0.12121212121212122,7.615384615384616,87.0,finite,0.020162944727741633
R00007,Geometric__x__Kinematic=Uncommon Kinematic,Geometric__x__Kinematic,Uncommon Kinematic,Acceleration__x__Indentation=Uncommon Acceleration;Geometric__x__Temporal=Uncommon Temporal,2,1551,145,35,0.02256608639587363,0.2413793103448276,38,0.024500322372662798,0.9210526315789473,0.09348807221147647,9.852087114337568,113.12643678160919,finite,0.020275598488693678
R00008,Extent__x__Path_Evolution=Uncommon Path_Evolution,Extent__x__Path_Evolution,Uncommon Path_Evolution,Extent__x__Phase_Change=Uncommon Phase_Change;Spatial_Context__x__SpatioTemporal_Dynamics=Uncommon SpatioTemporal_Dynamics,2,1551,146,34,0.02192134107027724,0.2328767123287671,37,0.02385557704706641,0.918918918918919,0.09413281753707285,9.761940022213995,109.06392694063925,finite,0.019675748388864153
R00009,Displacement__x__Path_Evolution=Uncommon Path_Evolution,Displacement__x__Path_Evolution,Uncommon Path_Evolution,Displacement__x__Phase_Change=Uncommon Phase_Change;Spatial_Context__x__SpatioTemporal_Dynamics=Uncommon SpatioTemporal_Dynamics,2,1551,156,31,0.019987105093488073,0.1987179487179487,34,0.02192134107027724,0.9117647058823529,0.10058027079303675,9.065045248868778,92.40384615384615,finite,0.01778225067249307
R00010,Duration__x__Path_Evolution=Uncommon Path_Evolution,Duration__x__Path_Evolution,Uncommon Path_Evolution,Duration__x__Phase_Change=Uncommon Phase_Change;Localization__x__Sequence_Complexity=Uncommon Localization,2,1551,188,30,0.019342359767891684,0.1595744680851064,33,0.02127659574468085,0.9090909090909091,0.12121212121212122,7.499999999999999,72.5,finite,0.016763378465506126
