rule_id,trajectory_id,target_item,is_target,is_contrast,antecedent_satisfied,target_satisfied
R00001,78,Acceleration__x__Indentation=Uncommon Acceleration,True,False,True,True
R00001,132,Acceleration__x__Indentation=Uncommon Acceleration,True,False,True,True
R00001,179,Acceleration__x__Indentation=Uncommon Acceleration,True,False,True,True
R00001,232,Acceleration__x__Indentation=Uncommon Acceleration,True,False,True,True
R00001,384,Acceleration__x__Indentation=Uncommon Acceleration,True,False,True,True
R00001,406,Acceleration__x__Indentation=Uncommon Acceleration,False,True,True,False
R00001,454,Acceleration__x__Indentation=Uncommon Acceleration,True,False,True,True
R00001,461,Acceleration__x__Indentation=Uncommon Acceleration,True,False,True,True
R00001,549,Acceleration__x__Indentation=Uncommon Acceleration,True,False,True,True
R00001,552,Acceleration__x__Indentation=Uncommon Acceleration,True,False,True,True
R00001,554,Acceleration__x__Indentation=Uncommon Acceleration,True,False,True,True
R00001,575,Acceleration__x__Indentation=Uncommon Acceleration,True,False,True,True
R00001,737,Acceleration__x__Indentation=Uncommon Acceleration,True,False,True,True
R00001,824,Acceleration__x__Indentation=Uncommon Acceleration,True,False,True,True
R00001,846,Acceleration__x__Indentation=Uncommon Acceleration,True,False,True,True
R00001,876,Acceleration__x__Indentation=Uncommon Acceleration,True,False,True,True
R00001,934,Acceleration__x__Indentation=Uncommon Acceleration,True,False,True,True
R00001,992,Acceleration__x__Indentation=Uncommon Acceleration,True,False,True,True
R00001,1014,Acceleration__x__Indentation=Uncommon Acceleration,True,False,True,True
R00001,1015,Acceleration__x__Indentation=Uncommon Acceleration,True,False,True,True
R00001,1020,Acceleration__x__Indentation=Uncommon Acceleration,True,False,True,True
R00001,1042,Acceleration__x__Indentation=Uncommon Acceleration,True,False,True,True
R00001,1158,Acceleration__x__Indentation=Uncommon Acceleration,True,False,True,True
R00001,1182,Acceleration__x__Indentation=Uncommon Acceleration,True,False,True,True
R00001,1195,Acceleration__x__Indentation=Uncommon Acceleration,True,False,True,True
R00001,1236,Acceleration__x__Indentation=Uncommon Acceleration,True,False,True,True
R00001,1284,Acceleration__x__Indentation=Uncommon Acceleration,True,False,True,True
R00001,1306,Acceleration__x__Indentation=Uncommon Acceleration,True,False,True,True
R00001,1415,Acceleration__x__Indentation=Uncommon Acceleration,True,False,True,True
R00001,1424,Acceleration__x__Indentation=Uncommon Acceleration,True,False,True,True
R00001,1432,Acceleration__x__Indentation=Uncommon Acceleration,True,False,True,True
R00002,95,Localization__x__Path_Evolution=Uncommon Path_Evolution,False,True,True,False
R00002,125,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00002,177,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00002,195,Localization__x__Path_Evolution=Uncommon Path_Evolution,False,True,True,False
R00002,386,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00002,539,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00002,541,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00002,579,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00002,611,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00002,617,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00002,725,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00002,737,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00002,740,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00002,800,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00002,910,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00002,921,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00002,936,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00002,938,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00002,949,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00002,962,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00002,1042,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00002,1045,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00002,1049,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00002,1075,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00002,1143,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00002,1165,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00002,1176,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00002,1179,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00002,1360,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00002,1448,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00002,1531,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00003,95,Localization__x__Path_Evolution=Uncommon Path_Evolution,False,True,True,False
R00003,132,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00003,236,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00003,360,Localization__x__Path_Evolution=Uncommon Path_Evolution,False,True,True,False
R00003,362,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00003,386,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00003,454,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00003,542,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00003,559,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00003,560,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00003,723,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00003,737,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00003,762,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00003,770,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00003,810,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00003,868,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00003,901,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00003,921,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00003,938,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00003,949,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00003,1032,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00003,1042,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00003,1045,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00003,1165,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00003,1176,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00003,1360,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00003,1415,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00003,1425,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00003,1431,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00003,1446,Localization__x__Path_Evolution=Uncommon Path_Evolution,True,False,True,True
R00004,138,Localization__x__Sampling_Gaps=Uncommon Localization,True,False,True,True
R00004,174,Localization__x__Sampling_Gaps=Uncommon Localization,True,False,True,True
R00004,213,Localization__x__Sampling_Gaps=Uncommon Localization,True,False,True,True
R00004,249,Localization__x__Sampling_Gaps=Uncommon Localization,True,False,True,True
R00004,304,Localization__x__Sampling_Gaps=Uncommon Localization,True,False,True,True
R00004,306,Localization__x__Sampling_Gaps=Uncommon Localization,False,True,True,False
R00004,407,Localization__x__Sampling_Gaps=Uncommon Localization,True,False,True,True
R00004,459,Localization__x__Sampling_Gaps=Uncommon Localization,True,False,True,True
R00004,557,Localization__x__Sampling_Gaps=Uncommon Localization,True,False,True,True
R00004,593,Localization__x__Sampling_Gaps=Uncommon Localization,True,False,True,True
R00004,666,Localization__x__Sampling_Gaps=Uncommon Localization,False,True,True,False
R00004,720,Localization__x__Sampling_Gaps=Uncommon Localization,True,False,True,True
R00004,736,Localization__x__Sampling_Gaps=Uncommon Localization,True,False,True,True
R00004,752,Localization__x__Sampling_Gaps=Uncommon Localization,True,False,True,True
