item_a,item_b,count_a,count_b,count_ab,support_a,support_b,support_ab,confidence_a_to_b,confidence_b_to_a,lift,jaccard
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Acceleration_Dynamics__x__Spatial_Reach_and_Route=Hybrid,833,877,633,0.5370728562217923,0.5654416505480335,0.4081237911025145,0.7599039615846338,0.7217787913340935,1.3439122513315476,0.5877437325905293
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Acceleration_Dynamics__x__Spatial_Reach_and_Route=Normal,833,474,111,0.5370728562217923,0.3056092843326886,0.07156673114119923,0.1332533013205282,0.23417721518987342,0.43602504292856387,0.09280936454849498
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Acceleration_Dynamics__x__Spatial_Reach_and_Route=Uncommon Acceleration_Dynamics,833,105,72,0.5370728562217923,0.06769825918762089,0.04642166344294004,0.08643457382953182,0.6857142857142857,1.2767621334247987,0.08314087759815242
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Acceleration_Dynamics__x__Spatial_Reach_and_Route=Uncommon Spatial_Reach_and_Route,833,95,17,0.5370728562217923,0.06125080593165699,0.01096067053513862,0.02040816326530612,0.17894736842105263,0.3331901181525242,0.018660812294182216
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Acceleration_Dynamics__x__Speed_Dynamics=Hybrid,833,880,633,0.5370728562217923,0.5673758865248227,0.4081237911025145,0.7599039615846338,0.7193181818181819,1.3393307322929173,0.5861111111111111
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Acceleration_Dynamics__x__Speed_Dynamics=Normal,833,464,98,0.5370728562217923,0.29916183107672467,0.06318504190844616,0.11764705882352941,0.21120689655172414,0.39325557809330636,0.0817347789824854
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Acceleration_Dynamics__x__Speed_Dynamics=Uncommon Acceleration_Dynamics,833,109,83,0.5370728562217923,0.07027724049000644,0.05351386202450032,0.09963985594237695,0.7614678899082569,1.4178111611617126,0.09662398137369034
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Acceleration_Dynamics__x__Speed_Dynamics=Uncommon Speed_Dynamics,833,98,19,0.5370728562217923,0.06318504190844616,0.012250161186331399,0.022809123649459785,0.19387755102040816,0.3609892936766544,0.020833333333333332
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Acceleration_Dynamics__x__Temporal_Sequential_Context=Hybrid,833,865,636,0.5370728562217923,0.5577047066408769,0.41005802707930367,0.7635054021608644,0.7352601156069364,1.3690137326606941,0.5988700564971752
Acceleration_Dynamics__x__Curvature_Geometry=Hybrid,Acceleration_Dynamics__x__Temporal_Sequential_Context=Normal,833,490,112,0.5370728562217923,0.3159252095422308,0.07221147646679561,0.13445378151260504,0.22857142857142856,0.42558737780826617,0.09248554913294797
