rule_id,target_item,positive_trajectory_id,counterexample_trajectory_id,counterexample_rank,fingerprint_matching_pair_count,fingerprint_comparison_pair_count,fingerprint_similarity,fingerprint_label_mismatch_count,antecedent_feature_distance,antecedent_nodes,target_nodes,antecedent_feature_count,comparison_feature_count
R00001,Acceleration__x__Indentation=Uncommon Acceleration,78,406,1,32,73,0.4383561643835616,41,5.852340813140861,Geometric;Kinematic;Indentation;Sampling_Gaps,Acceleration;Indentation,76,76
R00001,Acceleration__x__Indentation=Uncommon Acceleration,132,406,1,44,73,0.6027397260273972,29,5.235861107421925,Geometric;Kinematic;Indentation;Sampling_Gaps,Acceleration;Indentation,76,76
R00001,Acceleration__x__Indentation=Uncommon Acceleration,179,406,1,47,73,0.6438356164383562,26,5.177693160226753,Geometric;Kinematic;Indentation;Sampling_Gaps,Acceleration;Indentation,76,76
R00001,Acceleration__x__Indentation=Uncommon Acceleration,232,406,1,57,73,0.7808219178082192,16,9.329639474362471,Geometric;Kinematic;Indentation;Sampling_Gaps,Acceleration;Indentation,76,76
R00001,Acceleration__x__Indentation=Uncommon Acceleration,384,406,1,42,73,0.5753424657534246,31,73.50614091558855,Geometric;Kinematic;Indentation;Sampling_Gaps,Acceleration;Indentation,76,76
R00001,Acceleration__x__Indentation=Uncommon Acceleration,454,406,1,47,73,0.6438356164383562,26,18.227910788005335,Geometric;Kinematic;Indentation;Sampling_Gaps,Acceleration;Indentation,76,76
R00001,Acceleration__x__Indentation=Uncommon Acceleration,461,406,1,33,73,0.4520547945205479,40,5.357998271883203,Geometric;Kinematic;Indentation;Sampling_Gaps,Acceleration;Indentation,76,76
R00001,Acceleration__x__Indentation=Uncommon Acceleration,549,406,1,54,73,0.7397260273972602,19,111.74436712320826,Geometric;Kinematic;Indentation;Sampling_Gaps,Acceleration;Indentation,76,76
R00001,Acceleration__x__Indentation=Uncommon Acceleration,552,406,1,46,73,0.6301369863013698,27,10.312968834548217,Geometric;Kinematic;Indentation;Sampling_Gaps,Acceleration;Indentation,76,76
R00001,Acceleration__x__Indentation=Uncommon Acceleration,554,406,1,27,73,0.3698630136986301,46,22.306305461967014,Geometric;Kinematic;Indentation;Sampling_Gaps,Acceleration;Indentation,76,76
R00001,Acceleration__x__Indentation=Uncommon Acceleration,575,406,1,16,73,0.2191780821917808,57,4.844942222478623,Geometric;Kinematic;Indentation;Sampling_Gaps,Acceleration;Indentation,76,76
