rule_id,target_item,positive_trajectory_id,counterexample_trajectory_id,neighbor_rank,fingerprint_matching_pair_count,fingerprint_comparison_pair_count,fingerprint_similarity,fingerprint_label_mismatch_count,antecedent_feature_distance,antecedent_nodes,target_nodes,antecedent_feature_count,comparison_feature_count
R00001,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,120,380,1,38,73,0.5205479452054794,35,101.3287403060824,Duration;Extent;Kinematic;SpatioTemporal_Dynamics,Extent;Sampling_Gaps,53,57
R00001,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,226,380,1,38,73,0.5205479452054794,35,264.1592399218906,Duration;Extent;Kinematic;SpatioTemporal_Dynamics,Extent;Sampling_Gaps,53,57
R00001,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,263,380,1,50,73,0.684931506849315,23,145.9783036916179,Duration;Extent;Kinematic;SpatioTemporal_Dynamics,Extent;Sampling_Gaps,53,57
R00001,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,268,3253,1,41,73,0.5616438356164384,32,112.40969248100038,Duration;Extent;Kinematic;SpatioTemporal_Dynamics,Extent;Sampling_Gaps,53,57
R00001,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,295,3253,1,46,73,0.6301369863013698,27,141.29460116370134,Duration;Extent;Kinematic;SpatioTemporal_Dynamics,Extent;Sampling_Gaps,53,57
R00001,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,297,380,1,40,73,0.547945205479452,33,93.96632211055658,Duration;Extent;Kinematic;SpatioTemporal_Dynamics,Extent;Sampling_Gaps,53,57
R00001,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,307,1697,1,48,73,0.6575342465753424,25,31386443.15957808,Duration;Extent;Kinematic;SpatioTemporal_Dynamics,Extent;Sampling_Gaps,53,57
R00001,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,312,206,1,47,73,0.6438356164383562,26,13584.303396368194,Duration;Extent;Kinematic;SpatioTemporal_Dynamics,Extent;Sampling_Gaps,53,57
R00001,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,341,3253,1,47,73,0.6438356164383562,26,1013136445665.1069,Duration;Extent;Kinematic;SpatioTemporal_Dynamics,Extent;Sampling_Gaps,53,57
R00001,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,346,3253,1,49,73,0.6712328767123288,24,83.90781986373203,Duration;Extent;Kinematic;SpatioTemporal_Dynamics,Extent;Sampling_Gaps,53,57
R00001,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,547,380,1,45,73,0.6164383561643836,28,72.38670288159,Duration;Extent;Kinematic;SpatioTemporal_Dynamics,Extent;Sampling_Gaps,53,57
R00001,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,634,380,1,44,73,0.6027397260273972,29,65.471838118695,Duration;Extent;Kinematic;SpatioTemporal_Dynamics,Extent;Sampling_Gaps,53,57
R00001,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,944,380,1,41,73,0.5616438356164384,32,140.6150174407977,Duration;Extent;Kinematic;SpatioTemporal_Dynamics,Extent;Sampling_Gaps,53,57
R00001,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,947,380,1,39,73,0.5342465753424658,34,11.72546609713087,Duration;Extent;Kinematic;SpatioTemporal_Dynamics,Extent;Sampling_Gaps,53,57
R00001,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,991,1697,1,43,73,0.589041095890411,30,170.97432111722947,Duration;Extent;Kinematic;SpatioTemporal_Dynamics,Extent;Sampling_Gaps,53,57
R00001,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,1078,3656,1,47,73,0.6438356164383562,26,197.38301626168663,Duration;Extent;Kinematic;SpatioTemporal_Dynamics,Extent;Sampling_Gaps,53,57
R00001,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,1079,3656,1,32,73,0.4383561643835616,41,271.1594503961958,Duration;Extent;Kinematic;SpatioTemporal_Dynamics,Extent;Sampling_Gaps,53,57
R00001,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,1083,3656,1,41,73,0.5616438356164384,32,199.18087318901706,Duration;Extent;Kinematic;SpatioTemporal_Dynamics,Extent;Sampling_Gaps,53,57
R00001,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,1141,380,1,43,73,0.589041095890411,30,146.23130235703871,Duration;Extent;Kinematic;SpatioTemporal_Dynamics,Extent;Sampling_Gaps,53,57
R00001,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,1687,380,1,40,73,0.547945205479452,33,4104753116.128591,Duration;Extent;Kinematic;SpatioTemporal_Dynamics,Extent;Sampling_Gaps,53,57
R00001,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,1694,4431,1,46,73,0.6301369863013698,27,43595273.31812461,Duration;Extent;Kinematic;SpatioTemporal_Dynamics,Extent;Sampling_Gaps,53,57
R00001,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,1703,380,1,48,73,0.6575342465753424,25,57.69331582353391,Duration;Extent;Kinematic;SpatioTemporal_Dynamics,Extent;Sampling_Gaps,53,57
R00001,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,1752,380,1,48,73,0.6575342465753424,25,130.27594347019948,Duration;Extent;Kinematic;SpatioTemporal_Dynamics,Extent;Sampling_Gaps,53,57
R00001,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,1757,1598,1,30,73,0.410958904109589,43,707809898.7348659,Duration;Extent;Kinematic;SpatioTemporal_Dynamics,Extent;Sampling_Gaps,53,57
R00001,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,1789,3253,1,38,73,0.5205479452054794,35,157.19579129864374,Duration;Extent;Kinematic;SpatioTemporal_Dynamics,Extent;Sampling_Gaps,53,57
R00001,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,1795,4645,1,35,73,0.4794520547945205,38,203.756464024991,Duration;Extent;Kinematic;SpatioTemporal_Dynamics,Extent;Sampling_Gaps,53,57
R00001,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,1875,206,1,40,73,0.547945205479452,33,223331990.43968382,Duration;Extent;Kinematic;SpatioTemporal_Dynamics,Extent;Sampling_Gaps,53,57
R00001,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,1883,3253,1,43,73,0.589041095890411,30,36505028.579542175,Duration;Extent;Kinematic;SpatioTemporal_Dynamics,Extent;Sampling_Gaps,53,57
R00001,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,1976,3656,1,41,73,0.5616438356164384,32,311.69947689164377,Duration;Extent;Kinematic;SpatioTemporal_Dynamics,Extent;Sampling_Gaps,53,57
R00001,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,1978,3656,1,39,73,0.5342465753424658,34,255.8832588737545,Duration;Extent;Kinematic;SpatioTemporal_Dynamics,Extent;Sampling_Gaps,53,57
R00001,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,1979,3656,1,46,73,0.6301369863013698,27,40.61199575461435,Duration;Extent;Kinematic;SpatioTemporal_Dynamics,Extent;Sampling_Gaps,53,57
R00001,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,1981,3656,1,41,73,0.5616438356164384,32,109.90192350513094,Duration;Extent;Kinematic;SpatioTemporal_Dynamics,Extent;Sampling_Gaps,53,57
R00001,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,1986,3656,1,39,73,0.5342465753424658,34,47.62900762923608,Duration;Extent;Kinematic;SpatioTemporal_Dynamics,Extent;Sampling_Gaps,53,57
R00001,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,2002,3253,1,53,73,0.726027397260274,20,129.48447371092792,Duration;Extent;Kinematic;SpatioTemporal_Dynamics,Extent;Sampling_Gaps,53,57
R00001,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,2004,380,1,48,73,0.6575342465753424,25,78.94334722693054,Duration;Extent;Kinematic;SpatioTemporal_Dynamics,Extent;Sampling_Gaps,53,57
R00001,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,2065,380,1,54,73,0.7397260273972602,19,56.75929183942597,Duration;Extent;Kinematic;SpatioTemporal_Dynamics,Extent;Sampling_Gaps,53,57
R00001,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,2182,380,1,50,73,0.684931506849315,23,58.919197723001204,Duration;Extent;Kinematic;SpatioTemporal_Dynamics,Extent;Sampling_Gaps,53,57
R00001,Extent__x__Sampling_Gaps=Uncommon Sampling_Gaps,2482,380,1,50,73,0.684931506849315,23,233.39022505284456,Duration;Extent;Kinematic;SpatioTemporal_Dynamics,Extent;Sampling_Gaps,53,57
